Column1 Column2 Column3 Column4
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
-0.13235 0.76256 0.95638 0.27091
-0.66363 -0.98803 -0.40404 0.55143
0.99991 0.52908 -0.42818 -0.99178
-0.64354 0.29637 0.96380 0.74511
-0.15862 -0.91652 -0.83177 0.01770
0.85090 0.90179 0.12357 -0.76825
-0.95375 -0.26237 0.67023 0.98663
0.39593 -0.55879 -0.99976 -0.52155
-0.32108 0.62344 0.99477 0.45151
0.84147 0.90930 0.14112 -0.75680
-0.95892 -0.27942 0.65699 0.98936
0.41212 -0.54402 -0.99999 -0.53657
0.42017 0.99061 0.65029 -0.28790
-0.96140 -0.75099 0.14988 0.91295
0.83666 -0.00885 -0.84622 -0.90558
